710100,GD cấp 3 Bến Thành,"50 Đường Lê Lai, Phường Bến Thành, Quận 1",
710000,GD cấp 3 Nguyễn Đình Chiểu,"11 Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",
710700,GD cấp 3 Đa Kao,"19 Đường Trần Quang Khải, Phường Tân Định, Quận 1",
713100,GD cấp 3 An Khánh,"Đường Lương Định Của, Phường Bình An, Quận 2 (Thủ Đức)",
722700,GD cấp 3 Tú Xương,"6 Đường Tú Xương, Phường Số 7, Quận 3",
717700,GD cấp 3 Cầu Đỏ,"319A4 Đường Nơ Trang Long, Phường Số 13, Quận Bình Thạnh",
736500,GD cấp 3 Hòang Hoa Thám,"50 Đường Cộng Hòa, Phường Số 13, Quận Tân Bình",
744910,GD cấp 3 Phó Cơ Điều,"150 Đường Phó Cơ Điều, Phường Số 6, Quận 11 (Chợ Lớn )",
759130,GD cấp 3 Đồng Hoà,"Ấp Đồng Hòa, Xã Long Hoà, Huyện Cần Giờ",
700100,GD cấp 1 Giao Dịch Quốc Tế Sài Gòn,"117-119 Đường Hai Bà Trưng, Phường Bến Nghé, Quận 1",
749200,GD cấp 3 An Dương Vương,"537 Đường An Dương Vương, Phường Số 14, Quận 5",
734200,GD cấp 3 Trung Lập,"Ấp Trung Bình, Xã Trung Lập Thượng, Huyện Củ Chi",
763200,GD cấp 3 Bà Hom,"Đường Tĩnh Lộ 10, Phường Tân Tạo, Quận Bình Tân",
731500,GD cấp 3 Tân Thới Nhì,"1/127 Ấp Nhị Tân 1, Xã Tân Thới Nhì, Huyện Hóc Môn",
737300,GD cấp 3 Bảy Hiền,"32A Đường Lạc Long Quân, Phường Số 8, Quận Tân Bình",
747100,GD cấp 3 Bình Phú,"28-29G Đường 26, Phường Số 10, Quận 6",
763300,GD cấp 3 Tân Tạo,"Lô nhà S, Khu dân cư Bắc Lương Bèo, Phường Tân Tạo A, Quận Bình Tân",
743100,GD cấp 3 Lạc Long Quân,"509 Đường Lạc Long Quân, Phường Số 5, Quận 11 (Chợ Lớn )",
754000,GD cấp 2 Quận 4,"104 Đường Nguyễn Tất Thành, Phường Số 13, Quận 4",
725000,GD cấp 3 Lê Văn Sỹ,"245Pbis Đường Lê Văn Sỹ, Phường Số 14, Quận Phú Nhuận",
